time,open,high,low,close,Volume
1982-02-10,1.8247,1.8247,1.8247,1.8247,0
1982-02-11,1.825,1.825,1.825,1.825,0
1982-02-16,1.8247,1.8247,1.8247,1.8247,0
1982-02-17,1.8247,1.8247,1.8247,1.8247,0
1982-02-18,1.8338,1.8338,1.8338,1.8338,0
1982-02-19,1.8227,1.8227,1.8227,1.8227,0
1982-02-22,1.8136,1.8136,1.8136,1.8136,0
1982-02-23,1.8136,1.8136,1.8136,1.8136,0
1982-02-24,1.8282,1.8282,1.8282,1.8282,0
1982-02-25,1.8282,1.8282,1.8282,1.8282,0
1982-02-26,1.8355,1.8355,1.8355,1.8355,0
1982-03-01,1.8447,1.8447,1.8447,1.8447,0
1982-03-02,1.8447,1.8447,1.8447,1.8447,0
1982-03-03,1.8355,1.8355,1.8355,1.8355,0
1982-03-04,1.8335,1.8335,1.8335,1.8335,0
1982-03-05,1.8263,1.8263,1.8263,1.8263,0
1982-03-08,1.8171,1.8171,1.8171,1.8171,0
1982-03-09,1.8171,1.8171,1.8171,1.8171,0
1982-03-10,1.8299,1.8299,1.8299,1.8299,0
1982-03-11,1.8229,1.8229,1.8229,1.8229,0
1982-03-12,1.8335,1.8335,1.8335,1.8335,0
1982-03-15,1.8335,1.8335,1.8335,1.8335,0
1982-03-16,1.8335,1.8335,1.8335,1.8335,0
1982-03-17,1.8426,1.8426,1.8426,1.8426,0
1982-03-18,1.8426,1.8426,1.8426,1.8426,0
1982-03-19,1.8426,1.8426,1.8426,1.8426,0
1982-03-22,1.8518,1.8518,1.8518,1.8518,0
1982-03-23,1.861,1.861,1.861,1.861,0
1982-03-24,1.8517,1.8517,1.8517,1.8517,0
1982-03-25,1.8517,1.8517,1.8517,1.8517,0
1982-03-26,1.8628,1.8628,1.8628,1.8628,0
1982-03-29,1.8628,1.8628,1.8628,1.8628,0
1982-03-30,1.8722,1.8722,1.8722,1.8722,0
1982-03-31,1.8722,1.8722,1.8722,1.8722,0
1982-04-01,1.8722,1.8722,1.8722,1.8722,0
1982-04-02,1.8528,1.8528,1.8528,1.8528,0
1982-04-05,1.8628,1.8628,1.8628,1.8628,0
1982-04-06,1.8628,1.8628,1.8628,1.8628,0
1982-04-07,1.8628,1.8628,1.8628,1.8628,0
1982-04-08,1.8628,1.8628,1.8628,1.8628,0
1982-04-09,1.8628,1.8628,1.8628,1.8628,0
1982-04-12,1.8628,1.8628,1.8628,1.8628,0
1982-04-13,1.8628,1.8628,1.8628,1.8628,0
1982-04-14,1.8628,1.8628,1.8628,1.8628,0
1982-04-15,1.8628,1.8628,1.8628,1.8628,0
1982-04-16,1.8722,1.8722,1.8722,1.8722,0
1982-04-19,1.8628,1.8628,1.8628,1.8628,0
1982-04-20,1.8628,1.8628,1.8628,1.8628,0
1982-04-21,1.8628,1.8628,1.8628,1.8628,0
1982-04-22,1.8517,1.8517,1.8517,1.8517,0
1982-04-23,1.8517,1.8517,1.8517,1.8517,0
